멘티_ID,현재 기술 수준,학습 목표,관심 분야
1,고급,도시 계획 이해,무용
2,고급,프리랜서 비즈니스 관리,지질학
3,고급,패션 산업 이해,영화
4,중급,요리 기술 향상,화학 실험
5,초급,비즈니스 네트워킹 스킬 향상,지리학
6,중급,연극 연출 능력 키우기,공공 연설
7,중급,협상 기술 배우기,체육
8,고급,연극 연출 능력 키우기,화학
9,초급,스토리텔링 능력 개발,가상 현실
10,고급,의사소통 기술 향상,물리학 실험
11,중급,인테리어 소품 디자인 배우기,비즈니스 윤리
12,초급,스키 기술 향상,미술사
13,고급,바리스타 기술 연마,광고
14,중급,인권 문제 이해,사회학
15,고급,산업 디자인 기술 배우기,교육
16,중급,성공적인 팀워크 기술 연마,영화 제작
17,중급,자바스크립트 배우기,문학
18,중급,가상 현실 개발 학습,물리학
19,고급,공연 기획 배우기,인테리어 디자인
20,초급,바이올린 연주 배우기,로봇공학
21,중급,시간 관리 기술 향상,팀 관리
22,초급,게임 디자인 이해,공공 연설
23,중급,서비스 디자인 학습,사회학
24,초급,바리스타 기술 연마,재무 관리
25,고급,성공적인 팀워크 기술 연마,천문학
26,중급,자동차 정비 배우기,기상학
27,중급,개인 브랜딩 전략 학습,경제학
28,초급,인공지능 알고리즘 이해하기,자연 보전
29,고급,명상 및 스트레스 관리 배우기,커리어 개발
30,초급,서비스 디자인 학습,시간 관리
31,초급,인공지능 알고리즘 이해하기,영화 제작
32,고급,자동차 정비 배우기,철학
33,중급,사진 촬영 기술 향상,심리학
34,중급,자동차 정비 배우기,패션
35,중급,소셜 미디어 마케팅 배우기,바다 생물학
36,중급,커뮤니케이션 전략 배우기,애니메이션
37,고급,협상 기술 배우기,리더십
38,고급,브랜딩 전략 개발,자동차
39,중급,브랜딩 전략 개발,식물학
40,중급,명상 및 스트레스 관리 배우기,교육
41,초급,스키 기술 향상,가상 현실
42,중급,조경 디자인 학습,팀 관리
43,중급,프리젠테이션 능력 개발,코딩
44,고급,요리 기술 향상,환경 보호
45,초급,인공지능 알고리즘 이해하기,교수법
46,고급,유행 분석 배우기,3D 프린팅
47,고급,발표 스킬 향상,투자
48,고급,공연 기획 배우기,교수법
49,초급,재무 보고서 분석,직업 훈련
50,고급,비즈니스 네트워킹 스킬 향상,인권
51,중급,사진 촬영 기술 향상,지구과학
52,초급,농업 기술 배우기,법학
53,중급,비즈니스 윤리 배우기,소셜 미디어
54,중급,시간 관리 기술 향상,기상학
55,고급,스키 기술 향상,정치학
56,초급,동물 보호 관련 지식 배우기,컴퓨터 그래픽
57,초급,공공 연설 능력 개발,컴퓨터 과학
58,초급,카메라 촬영 기술 배우기,인공지능
59,중급,웹툰 제작 기술 배우기,글쓰기
60,중급,문학 분석 능력 개발,연극
61,초급,공연 기획 배우기,그래픽 디자인
62,고급,공간 예술 디자인 학습,자연 보전
63,고급,문학 분석 능력 개발,문학
64,고급,법률 지식 향상,기후 변화
65,중급,심리학 학습,광고
66,초급,유행 분석 배우기,우주과학
67,고급,재테크 학습,브랜딩
68,초급,리더십 기술 향상,문학
69,고급,영어 작문 기술 향상,산업 디자인
70,고급,감정 조절 기술 배우기,법학
71,중급,기초 의학 학습,디지털 마케팅
72,초급,국제 협상 기술 배우기,심리학
73,초급,자바스크립트 배우기,마케팅
74,초급,디지털 마케팅 기술 향상,컴퓨터 과학
75,고급,프리랜서 비즈니스 관리,감정 관리
76,초급,네트워킹 기술 향상,피트니스
77,중급,프리랜서 비즈니스 관리,인터넷
78,중급,서핑 배우기,인권
79,중급,사진 촬영 기술 향상,지질학
80,초급,가상 현실 개발 학습,직무 분석
81,초급,법률 지식 향상,환경 보호
82,초급,서핑 배우기,패션
83,고급,성공적인 팀워크 기술 연마,정치학
84,중급,유행 분석 배우기,화학 실험
85,중급,스키 기술 향상,인터뷰
86,중급,심리학 학습,건축
87,고급,공공 연설 능력 개발,인공지능
88,고급,서핑 배우기,투자
89,중급,생물학 원리 이해,웰빙
90,고급,타임 매니지먼트 배우기,산업 디자인
91,중급,청중 분석 능력 개발,기계 공학
92,고급,기계 공학 원리 학습,인터넷
93,중급,개인 브랜딩 전략 학습,농업
94,고급,카피라이팅 기술 배우기,피트니스
95,초급,명상 및 스트레스 관리 배우기,미디어
96,중급,자바스크립트 배우기,기술 혁신
97,중급,동물 보호 관련 지식 배우기,법학
98,중급,도시 계획 이해,언어
99,초급,영어 작문 기술 향상,정치학
100,고급,건축 설계 학습,역사
101,중급,성공적인 팀워크 기술 연마,심리학
102,초급,패션 산업 이해,그래픽 디자인
103,초급,기업가 정신 배우기,바이오테크놀로지
104,중급,청중 분석 능력 개발,미디어
105,고급,공공 연설 능력 개발,증강 현실
106,중급,연극 연출 능력 키우기,연극
107,초급,기업가 정신 배우기,천문학
108,고급,협상 기술 배우기,요리
109,중급,소셜 미디어 마케팅 배우기,도시 계획
110,고급,기타 연주 배우기,바이오테크놀로지
111,고급,카메라 촬영 기술 배우기,법학
112,고급,유튜브 영상 편집 배우기,문학
113,초급,농업 기술 배우기,정치학
114,고급,아마추어 극단 운영 기술,조각
115,초급,문학 분석 능력 개발,인테리어 디자인
116,중급,감정 조절 기술 배우기,감정 관리
117,고급,국제 협상 기술 배우기,가상 현실
118,중급,법률 지식 향상,통신
119,초급,타임 매니지먼트 배우기,웰빙
120,고급,가상 현실 개발 학습,연극
121,초급,법률 지식 향상,재무 관리
122,고급,기계 공학 원리 학습,마케팅
123,고급,조경 디자인 학습,시간 관리
124,중급,소셜 미디어 마케팅 배우기,재무 관리
125,초급,재무 보고서 분석,화학
126,초급,서비스 디자인 학습,체육
127,초급,공간 예술 디자인 학습,자기계발
128,중급,공공 연설 능력 개발,리더십
129,고급,브랜딩 전략 개발,소셜 미디어
130,고급,통계학 공부,심리학
131,중급,디지털 마케팅 기술 향상,심리학
132,고급,협상 기술 배우기,문학
133,고급,의사소통 기술 향상,시간 관리
134,초급,바리스타 기술 연마,출판
135,중급,현대 철학 이해,건강 관리
136,중급,재테크 학습,자기계발
